[Sun Feb 15 19:09:22 2009] [notice] ModJaxer/1.0.3.4547: Initialization.
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/img_icon_diagnostics.png HTTP/1.1" 200 622
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/bg_content_br.png HTTP/1.1" 200 435
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/bg_content_tr.png HTTP/1.1" 200 449
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "GET /aptana/images_global/bg_content_bl.png HTTP/1.1" 200 248
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "POST /aptana/jaxer_about.html HTTP/1.1" 200 2226
127.0.0.1 - - [15/Feb/2009:19:10:35 -0800] "POST /jaxer-callback HTTP/1.1" 200 21
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "GET /aptana/diagnostics/index.html HTTP/1.1" 200 8405
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "GET /aptana/diagnostics/css/shared.css HTTP/1.1" 200 8731
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "GET /aptana/diagnostics/diagnosticTests.js HTTP/1.1" 200 7809
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "GET /aptana/diagnostics/css/local.css HTTP/1.1" 200 877
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "GET /aptana/diagnostics/index.css HTTP/1.1" 200 1635
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "GET /aptana/diagnostics/jquery-1.2.1.js HTTP/1.1" 200 83461
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "GET /aptana/diagnostics/lib/wz_tooltip.js HTTP/1.1" 200 33381
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "GET /aptana/diagnostics/images/wrench.png HTTP/1.1" 200 610
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "GET /aptana/diagnostics/images/information.png HTTP/1.1" 200 918
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "GET /aptana/diagnostics/images/aptana_activity.gif HTTP/1.1" 200 1849
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "GET /aptana/diagnostics/images/award_star_silver_3.png HTTP/1.1" 200 738
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "GET /aptana/diagnostics/images/star.png HTTP/1.1" 200 670
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "POST /jaxer-callback HTTP/1.1" 200 28
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "GET /aptana/diagnostics/images/accept.png HTTP/1.1" 200 781
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "POST /jaxer-callback HTTP/1.1" 200 99
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "POST /jaxer-callback HTTP/1.1" 200 19142
127.0.0.1 - - [15/Feb/2009:19:11:11 -0800] "POST /jaxer-callback HTTP/1.1" 200 111
127.0.0.1 - - [15/Feb/2009:19:11:12 -0800] "POST /jaxer-callback HTTP/1.1" 200 6789
127.0.0.1 - - [15/Feb/2009:19:11:12 -0800] "POST /jaxer-callback HTTP/1.1" 200 20
127.0.0.1 - - [15/Feb/2009:19:11:12 -0800] "POST /jaxer-callback HTTP/1.1" 200 20
127.0.0.1 - - [15/Feb/2009:19:11:12 -0800] "POST /jaxer-callback HTTP/1.1" 200 20
127.0.0.1 - - [15/Feb/2009:19:11:12 -0800] "POST /jaxer-callback HTTP/1.1" 200 77
127.0.0.1 - - [15/Feb/2009:19:11:12 -0800] "GET /favicon.ico HTTP/1.1" 200 1406
127.0.0.1 - - [15/Feb/2009:19:11:48 -0800] "POST /aptana/apps_and_tools.html HTTP/1.1" 200 3278
127.0.0.1 - - [15/Feb/2009:19:11:48 -0800] "GET /aptana/images/email.png HTTP/1.1" 200 641
127.0.0.1 - - [15/Feb/2009:19:11:48 -0800] "GET /aptana/images/date_edit.png HTTP/1.1" 200 799
127.0.0.1 - - [15/Feb/2009:19:11:48 -0800] "GET /aptana/images/user_comment.png HTTP/1.1" 200 868
127.0.0.1 - - [15/Feb/2009:19:11:48 -0800] "GET /aptana/images/feed.png HTTP/1.1" 200 691
127.0.0.1 - - [15/Feb/2009:19:11:48 -0800] "GET /aptana/images/hexdump.png HTTP/1.1" 200 493
127.0.0.1 - - [15/Feb/2009:19:11:48 -0800] "GET /aptana/images/page_edit.png HTTP/1.1" 200 807
127.0.0.1 - - [15/Feb/2009:19:11:48 -0800] "GET /aptana/images/server_diag.png HTTP/1.1" 200 678
127.0.0.1 - - [15/Feb/2009:19:11:48 -0800] "GET /aptana/images/award_star_silver_3.png HTTP/1.1" 200 738
127.0.0.1 - - [15/Feb/2009:19:11:48 -0800] "GET /aptana/images/application_xp_terminal.png HTTP/1.1" 200 574
127.0.0.1 - - [15/Feb/2009:19:11:48 -0800] "GET /aptana/images/star.png HTTP/1.1" 200 670
127.0.0.1 - - [15/Feb/2009:19:11:48 -0800] "GET /aptana/images/script_gear.png HTTP/1.1" 200 861
127.0.0.1 - - [15/Feb/2009:19:11:48 -0800] "GET /aptana/images/page_white_edit.png HTTP/1.1" 200 618
127.0.0.1 - - [15/Feb/2009:19:12:19 -0800] "POST /aptana/modal_window.html HTTP/1.1" 200 634
127.0.0.1 - - [15/Feb/2009:19:12:19 -0800] "GET /aptana/images_global/shadown_top-left-corner.png HTTP/1.1" 200 165
127.0.0.1 - - [15/Feb/2009:19:12:19 -0800] "GET /aptana/images_global/shadown_top-right-corner.png HTTP/1.1" 200 168
127.0.0.1 - - [15/Feb/2009:19:12:19 -0800] "GET /aptana/images_global/shadown_left-edge.png HTTP/1.1" 200 144
127.0.0.1 - - [15/Feb/2009:19:12:19 -0800] "GET /aptana/images_global/shadown_top-edge.png HTTP/1.1" 200 126
127.0.0.1 - - [15/Feb/2009:19:12:19 -0800] "GET /aptana/images_global/shadown_bottom-edge.png HTTP/1.1" 200 128
127.0.0.1 - - [15/Feb/2009:19:12:19 -0800] "GET /aptana/images_global/shadown_bottom-right-corner.png HTTP/1.1" 200 197
127.0.0.1 - - [15/Feb/2009:19:12:19 -0800] "GET /aptana/images_global/shadown_bottom-left-corner.png HTTP/1.1" 200 190
127.0.0.1 - - [15/Feb/2009:19:12:19 -0800] "GET /aptana/images_global/shadown_right-edge.png HTTP/1.1" 200 141
127.0.0.1 - - [15/Feb/2009:19:12:19 -0800] "GET /aptana/samples/wikilite/index.html HTTP/1.1" 200 4214
127.0.0.1 - - [15/Feb/2009:19:12:20 -0800] "GET /aptana/samples/wikilite/css/index.css HTTP/1.1" 200 449
127.0.0.1 - - [15/Feb/2009:19:12:20 -0800] "GET /aptana/samples/wikilite/lib/wz_tooltip.js HTTP/1.1" 200 33381
127.0.0.1 - - [15/Feb/2009:19:12:20 -0800] "GET /aptana/samples/wikilite/images/information.png HTTP/1.1" 200 778
127.0.0.1 - - [15/Feb/2009:19:12:20 -0800] "GET /aptana/samples/wikilite/images/page_edit.png HTTP/1.1" 200 807
127.0.0.1 - - [15/Feb/2009:19:12:20 -0800] "GET /aptana/samples/wikilite/images/html.png HTTP/1.1" 200 578
127.0.0.1 - - [15/Feb/2009:19:12:29 -0800] "POST /aptana/modal_window.html HTTP/1.1" 200 634
127.0.0.1 - - [15/Feb/2009:19:12:29 -0800] "GET /aptana/samples/wikilite/index.html HTTP/1.1" 200 4214
127.0.0.1 - - [15/Feb/2009:19:12:37 -0800] "GET /aptana/tools/sourceViewer/index.html?filename=../../samples/wikilite/index.html HTTP/1.1" 200 6348
127.0.0.1 - - [15/Feb/2009:19:12:37 -0800] "GET /aptana/tools/sourceViewer/lib/shCore.js HTTP/1.1" 200 12406
127.0.0.1 - - [15/Feb/2009:19:12:37 -0800] "GET /aptana/tools/sourceViewer/css/SyntaxHighlighter.css HTTP/1.1" 200 3993
127.0.0.1 - - [15/Feb/2009:19:12:37 -0800] "GET /aptana/tools/sourceViewer/lib/shBrushJScript.js HTTP/1.1" 200 1067
127.0.0.1 - - [15/Feb/2009:19:27:13 -0800] "GET /aptana HTTP/1.1" 301 237
127.0.0.1 - - [15/Feb/2009:19:27:13 -0800] "GET /aptana/lib/prototype.js HTTP/1.1" 200 126132
127.0.0.1 - - [15/Feb/2009:19:27:13 -0800] "GET /aptana/lib/base_server.js HTTP/1.1" 200 1616
127.0.0.1 - - [15/Feb/2009:19:27:13 -0800] "GET /aptana/ HTTP/1.1" 200 3503
127.0.0.1 - - [15/Feb/2009:19:27:14 -0800] "POST /aptana/jaxer_about.html HTTP/1.1" 200 2226
127.0.0.1 - - [15/Feb/2009:19:27:14 -0800] "POST /jaxer-callback HTTP/1.1" 200 21
127.0.0.1 - - [15/Feb/2009:19:27:17 -0800] "POST /aptana/apps_and_tools.html HTTP/1.1" 200 3278
127.0.0.1 - - [15/Feb/2009:19:27:18 -0800] "GET /aptana/tools/shell/index.html HTTP/1.1" 200 1198
127.0.0.1 - - [15/Feb/2009:19:27:19 -0800] "GET /aptana/tools/shell/css/index.css HTTP/1.1" 200 1257
127.0.0.1 - - [15/Feb/2009:19:27:29 -0800] "POST /aptana/modal_window.html HTTP/1.1" 200 634
127.0.0.1 - - [15/Feb/2009:19:27:29 -0800] "GET /aptana/samples/wikilite/index.html HTTP/1.1" 200 4214
127.0.0.1 - - [15/Feb/2009:19:27:40 -0800] "POST /aptana/modal_window.html HTTP/1.1" 200 634
127.0.0.1 - - [15/Feb/2009:19:27:40 -0800] "GET /aptana/samples/tasks/index.html HTTP/1.1" 200 4807
127.0.0.1 - - [15/Feb/2009:19:27:41 -0800] "GET /aptana/samples/tasks/css/index.css HTTP/1.1" 200 449
127.0.0.1 - - [15/Feb/2009:19:27:41 -0800] "GET /aptana/samples/tasks/lib/wz_tooltip.js HTTP/1.1" 200 33381
127.0.0.1 - - [15/Feb/2009:19:27:41 -0800] "GET /aptana/samples/tasks/images/date_edit.png HTTP/1.1" 200 799
127.0.0.1 - - [15/Feb/2009:19:27:41 -0800] "GET /aptana/samples/tasks/images/information.png HTTP/1.1" 200 778
127.0.0.1 - - [15/Feb/2009:19:27:41 -0800] "GET /aptana/samples/tasks/images/html.png HTTP/1.1" 200 578
127.0.0.1 - - [15/Feb/2009:19:27:45 -0800] "POST /jaxer-callback HTTP/1.1" 200 2
127.0.0.1 - - [15/Feb/2009:19:27:47 -0800] "POST /jaxer-callback HTTP/1.1" 200 2
127.0.0.1 - - [15/Feb/2009:19:27:52 -0800] "POST /jaxer-callback HTTP/1.1" 200 2
127.0.0.1 - - [15/Feb/2009:19:27:53 -0800] "POST /jaxer-callback HTTP/1.1" 200 2
127.0.0.1 - - [15/Feb/2009:19:27:55 -0800] "POST /jaxer-callback HTTP/1.1" 200 2
127.0.0.1 - - [15/Feb/2009:19:28:02 -0800] "POST /aptana/modal_window.html HTTP/1.1" 200 634
127.0.0.1 - - [15/Feb/2009:19:28:03 -0800] "GET /aptana/samples/tasks/index.html HTTP/1.1" 200 5612
127.0.0.1 - - [15/Feb/2009:19:28:07 -0800] "POST /aptana/modal_window.html HTTP/1.1" 200 634
127.0.0.1 - - [15/Feb/2009:19:28:07 -0800] "GET /aptana/samples/wikilite/index.html HTTP/1.1" 200 4214
127.0.0.1 - - [15/Feb/2009:19:28:15 -0800] "POST /jaxer-callback HTTP/1.1" 200 2
127.0.0.1 - - [15/Feb/2009:19:28:19 -0800] "POST /aptana/modal_window.html HTTP/1.1" 200 634
127.0.0.1 - - [15/Feb/2009:19:28:19 -0800] "GET /aptana/samples/wikilite/index.html HTTP/1.1" 200 4223
127.0.0.1 - - [15/Feb/2009:19:28:27 -0800] "GET /aptana/tools/shell/index.html HTTP/1.1" 200 1198
127.0.0.1 - - [15/Feb/2009:19:29:56 -0800] "GET /aptana/tools/shell/index.html HTTP/1.1" 200 1198
127.0.0.1 - - [15/Feb/2009:19:29:56 -0800] "GET /jaxer/framework/clientFramework_compressed.js?version=1.0.3.4547 HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2009:19:29:56 -0800] "GET /aptana/tools/shell/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2009:19:29:58 -0800] "GET /aptana/tools/shell/index.html HTTP/1.1" 200 1198
127.0.0.1 - - [15/Feb/2009:19:29:58 -0800] "GET /jaxer/framework/clientFramework_compressed.js?version=1.0.3.4547 HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2009:19:29:58 -0800] "GET /aptana/tools/shell/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2009:19:30:27 -0800] "GET /aptana/tools/shell/index.html HTTP/1.1" 200 1198
127.0.0.1 - - [15/Feb/2009:19:30:29 -0800] "GET /aptana/tools/shell/index.html HTTP/1.1" 200 1198
127.0.0.1 - - [15/Feb/2009:19:30:29 -0800] "GET /jaxer/framework/clientFramework_compressed.js?version=1.0.3.4547 HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2009:19:30:29 -0800] "GET /aptana/tools/shell/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2009:19:30:40 -0800] "GET /aptana/tools/shell/index.html HTTP/1.1" 200 1198
127.0.0.1 - - [15/Feb/2009:19:30:40 -0800] "GET /jaxer/framework/clientFramework_compressed.js?version=1.0.3.4547 HTTP/1.1" 200 24311
127.0.0.1 - - [15/Feb/2009:19:30:40 -0800] "GET /aptana/tools/shell/css/index.css HTTP/1.1" 200 1257
127.0.0.1 - - [15/Feb/2009:19:30:40 -0800] "GET /favicon.ico HTTP/1.1" 200 1406
127.0.0.1 - - [15/Feb/2009:19:30:43 -0800] "GET /aptana/favicon.ico HTTP/1.1" 200 1406
127.0.0.1 - - [15/Feb/2009:19:30:52 -0800] "GET /aptana/tools/shell/index.html HTTP/1.1" 200 1198
127.0.0.1 - - [15/Feb/2009:19:30:53 -0800] "GET /jaxer/framework/clientFramework_compressed.js?version=1.0.3.4547 HTTP/1.1" 200 24311
127.0.0.1 - - [15/Feb/2009:19:30:53 -0800] "GET /aptana/tools/shell/css/index.css HTTP/1.1" 200 1257
127.0.0.1 - - [15/Feb/2009:19:30:53 -0800] "GET /favicon.ico HTTP/1.1" 200 1406
127.0.0.1 - - [15/Feb/2009:19:31:01 -0800] "GET /aptana/favicon.ico HTTP/1.1" 200 1406
127.0.0.1 - - [15/Feb/2009:19:31:01 -0800] "GET /aptana/tools/shell/index.html HTTP/1.1" 200 1198
127.0.0.1 - - [15/Feb/2009:19:31:01 -0800] "GET /aptana/lib/prototype.js HTTP/1.1" 200 126132
127.0.0.1 - - [15/Feb/2009:19:31:01 -0800] "GET /aptana/lib/base_server.js HTTP/1.1" 200 1616
127.0.0.1 - - [15/Feb/2009:19:31:01 -0800] "GET /aptana/ HTTP/1.1" 200 3503
127.0.0.1 - - [15/Feb/2009:19:31:01 -0800] "GET /aptana/lib/prototype.js HTTP/1.1" 200 126132
127.0.0.1 - - [15/Feb/2009:19:31:01 -0800] "GET /aptana/tools/shell/index.html HTTP/1.1" 200 1198
127.0.0.1 - - [15/Feb/2009:19:31:01 -0800] "GET /jaxer/framework/clientFramework_compressed.js?version=1.0.3.4547 HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2009:19:31:01 -0800] "GET /aptana/lib/base_server.js HTTP/1.1" 200 1616
127.0.0.1 - - [15/Feb/2009:19:31:01 -0800] "GET /aptana/ HTTP/1.1" 200 3503
127.0.0.1 - - [15/Feb/2009:19:31:01 -0800] "GET /aptana/tools/shell/index.html HTTP/1.1" 200 1198
127.0.0.1 - - [15/Feb/2009:19:31:01 -0800] "GET /jaxer/framework/clientFramework_compressed.js?version=1.0.3.4547 HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2009:19:31:01 -0800] "GET /aptana/tools/shell/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/styles.css HTTP/1.1" 200 6378
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/lib/prototype.js HTTP/1.1" 200 126132
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/tools/shell/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/lib/base_client.js HTTP/1.1" 200 2140
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/lib/livepipe.js HTTP/1.1" 200 9668
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/lib/control.window.js HTTP/1.1" 200 32902
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/img_icon_upgrade.png HTTP/1.1" 200 1071
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/bg_page.png HTTP/1.1" 200 117
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/bg_leftcol_top.png HTTP/1.1" 200 13918
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/bg_page_gradient.png HTTP/1.1" 200 226
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/img_leftcol_feedback.png HTTP/1.1" 200 6304
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/bg_content_tr.png HTTP/1.1" 200 449
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/img_logo.png HTTP/1.1" 200 22224
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/bg_content_tl.png HTTP/1.1" 200 243
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/img_icon_samples.png HTTP/1.1" 200 924
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/bg_content_r.png HTTP/1.1" 200 181
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/built_with_aptana.gif HTTP/1.1" 200 1845
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/img_icon_api.png HTTP/1.1" 200 728
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/bg_content_l.png HTTP/1.1" 200 126
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/img_icon_diagnostics.png HTTP/1.1" 200 622
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/bg_leftcol_bottom.png HTTP/1.1" 200 3456
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/bg_content_bl.png HTTP/1.1" 200 248
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/images_global/bg_content_br.png HTTP/1.1" 200 435
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "GET /aptana/favicon.ico HTTP/1.1" 200 1406
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "POST /aptana/jaxer_about.html HTTP/1.1" 200 2226
127.0.0.1 - - [15/Feb/2009:19:31:02 -0800] "POST /jaxer-callback HTTP/1.1" 200 21
[Sun Feb 15 19:32:28 2009] [notice] ModJaxer/1.0.3.4547: Initialization.
127.0.0.1 - - [15/Feb/2009:19:32:31 -0800] "GET /aptana/tools/shell/index.html HTTP/1.1" 200 12428
127.0.0.1 - - [15/Feb/2009:19:32:31 -0800] "GET /jaxer/framework/clientFramework_compressed.js?version=1.0.3.4547 HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2009:19:32:31 -0800] "GET /aptana/tools/shell/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2009:19:32:31 -0800] "GET /aptana/tools/shell/lib/wz_tooltip.js HTTP/1.1" 200 33381
127.0.0.1 - - [15/Feb/2009:19:32:31 -0800] "GET /aptana/tools/shell/images/application_xp_terminal.png HTTP/1.1" 200 574
127.0.0.1 - - [15/Feb/2009:19:32:31 -0800] "GET /aptana/tools/shell/images/information.png HTTP/1.1" 200 778
127.0.0.1 - - [15/Feb/2009:19:32:31 -0800] "GET /aptana/tools/shell/images/html.png HTTP/1.1" 200 578
127.0.0.1 - - [15/Feb/2009:19:32:35 -0800] "POST /jaxer-callback HTTP/1.1" 200 1919
127.0.0.1 - - [15/Feb/2009:19:32:45 -0800] "POST /jaxer-callback HTTP/1.1" 200 37
127.0.0.1 - - [15/Feb/2009:19:32:53 -0800] "POST /jaxer-callback HTTP/1.1" 200 37
127.0.0.1 - - [15/Feb/2009:19:32:55 -0800] "POST /jaxer-callback HTTP/1.1" 200 37
127.0.0.1 - - [15/Feb/2009:19:32:56 -0800] "POST /jaxer-callback HTTP/1.1" 200 37
127.0.0.1 - - [15/Feb/2009:19:32:58 -0800] "POST /jaxer-callback HTTP/1.1" 200 37
127.0.0.1 - - [15/Feb/2009:19:33:00 -0800] "POST /jaxer-callback HTTP/1.1" 200 37
127.0.0.1 - - [15/Feb/2009:19:33:03 -0800] "POST /jaxer-callback HTTP/1.1" 200 37
127.0.0.1 - - [15/Feb/2009:19:33:05 -0800] "POST /jaxer-callback HTTP/1.1" 200 37
127.0.0.1 - - [15/Feb/2009:19:33:06 -0800] "POST /jaxer-callback HTTP/1.1" 200 37
127.0.0.1 - - [15/Feb/2009:19:33:07 -0800] "POST /jaxer-callback HTTP/1.1" 200 37
127.0.0.1 - - [15/Feb/2009:19:33:10 -0800] "POST /jaxer-callback HTTP/1.1" 200 37
127.0.0.1 - - [15/Feb/2009:19:33:42 -0800] "POST /aptana/apps_and_tools.html HTTP/1.1" 200 3278
127.0.0.1 - - [15/Feb/2009:19:33:42 -0800] "GET /aptana/images/email.png HTTP/1.1" 200 641
127.0.0.1 - - [15/Feb/2009:19:33:42 -0800] "GET /aptana/images/date_edit.png HTTP/1.1" 200 799
127.0.0.1 - - [15/Feb/2009:19:33:42 -0800] "GET /aptana/images/feed.png HTTP/1.1" 200 691
127.0.0.1 - - [15/Feb/2009:19:33:42 -0800] "GET /aptana/images/page_edit.png HTTP/1.1" 200 807
127.0.0.1 - - [15/Feb/2009:19:33:42 -0800] "GET /aptana/images/page_white_edit.png HTTP/1.1" 200 618
127.0.0.1 - - [15/Feb/2009:19:33:42 -0800] "GET /aptana/images/user_comment.png HTTP/1.1" 200 868
127.0.0.1 - - [15/Feb/2009:19:33:42 -0800] "GET /aptana/images/script_gear.png HTTP/1.1" 200 861
127.0.0.1 - - [15/Feb/2009:19:33:42 -0800] "GET /aptana/images/application_xp_terminal.png HTTP/1.1" 200 574
127.0.0.1 - - [15/Feb/2009:19:33:42 -0800] "GET /aptana/images/award_star_silver_3.png HTTP/1.1" 200 738
127.0.0.1 - - [15/Feb/2009:19:33:42 -0800] "GET /aptana/images/hexdump.png HTTP/1.1" 200 493
127.0.0.1 - - [15/Feb/2009:19:33:42 -0800] "GET /aptana/images/star.png HTTP/1.1" 200 670
127.0.0.1 - - [15/Feb/2009:19:33:42 -0800] "GET /aptana/images/server_diag.png HTTP/1.1" 200 678
127.0.0.1 - - [15/Feb/2009:19:33:44 -0800] "GET /aptana/diagnostics/index.html HTTP/1.1" 200 8405
127.0.0.1 - - [15/Feb/2009:19:33:44 -0800] "GET /aptana/diagnostics/css/shared.css HTTP/1.1" 200 8731
127.0.0.1 - - [15/Feb/2009:19:33:44 -0800] "GET /aptana/diagnostics/css/local.css HTTP/1.1" 200 877
127.0.0.1 - - [15/Feb/2009:19:33:44 -0800] "GET /aptana/diagnostics/index.css HTTP/1.1" 200 1635
127.0.0.1 - - [15/Feb/2009:19:33:44 -0800] "GET /aptana/diagnostics/diagnosticTests.js HTTP/1.1" 200 7809
127.0.0.1 - - [15/Feb/2009:19:33:44 -0800] "GET /aptana/diagnostics/jquery-1.2.1.js HTTP/1.1" 200 83461
127.0.0.1 - - [15/Feb/2009:19:33:44 -0800] "GET /aptana/diagnostics/lib/wz_tooltip.js HTTP/1.1" 200 33381
127.0.0.1 - - [15/Feb/2009:19:33:44 -0800] "GET /aptana/diagnostics/images/aptana_activity.gif HTTP/1.1" 200 1849
127.0.0.1 - - [15/Feb/2009:19:33:44 -0800] "GET /aptana/diagnostics/images/wrench.png HTTP/1.1" 200 610
127.0.0.1 - - [15/Feb/2009:19:33:44 -0800] "GET /aptana/diagnostics/images/information.png HTTP/1.1" 200 918
127.0.0.1 - - [15/Feb/2009:19:33:44 -0800] "GET /aptana/diagnostics/images/award_star_silver_3.png HTTP/1.1" 200 738
127.0.0.1 - - [15/Feb/2009:19:33:44 -0800] "GET /aptana/diagnostics/images/star.png HTTP/1.1" 200 670
